name,policy_index,servo_id,reference,reference_rad,expected_step,measured_median_step,measured_min_step,measured_max_step,error_steps,error_rad_equivalent,error_deg_equivalent,status
leg_left_hip_roll_joint,0,1,model-zero,0.0,1994,1994.0,1994,1994,0.0,-0.0,-0.0,PASS
leg_left_hip_yaw_joint,1,2,model-zero,0.0,2001,2001.0,2001,2001,0.0,-0.0,-0.0,PASS
leg_left_hip_pitch_joint,2,3,model-zero,0.0,2211,2211.0,2211,2211,0.0,-0.0,-0.0,PASS
leg_left_knee_pitch_joint,3,4,model-zero,0.0,1762,1762.0,1762,1762,0.0,-0.0,-0.0,PASS
leg_left_ankle_pitch_joint,4,5,model-zero,0.0,1783,1783.0,1783,1783,0.0,0.0,0.0,PASS
leg_left_ankle_roll_joint,5,6,model-zero,0.0,2018,2018.0,2018,2018,0.0,0.0,0.0,PASS
leg_right_hip_roll_joint,6,7,model-zero,0.0,2061,2061.0,2061,2061,0.0,0.0,0.0,PASS
leg_right_hip_yaw_joint,7,8,model-zero,0.0,2052,2052.0,2052,2052,0.0,0.0,0.0,PASS
leg_right_hip_pitch_joint,8,9,model-zero,0.0,2010,2010.0,2010,2010,0.0,0.0,0.0,PASS
leg_right_knee_pitch_joint,9,10,model-zero,0.0,2309,2309.0,2309,2309,0.0,0.0,0.0,PASS
leg_right_ankle_pitch_joint,10,11,model-zero,0.0,2286,2286.0,2286,2286,0.0,-0.0,-0.0,PASS
leg_right_ankle_roll_joint,11,12,model-zero,0.0,2055,2055.0,2055,2055,0.0,-0.0,-0.0,PASS
